🌏上海电信,#group#
东方卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.146:5140
安徽卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.120:5140
安徽卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.143:5140
重庆卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.84:5140
东南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.121:5140
甘肃卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.15:5140
广东卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.230:5140
广西卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.5:5140
贵州卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.80:5140
海南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.81:5140
河北卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.44:5140
河南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.3:5140
黑龙江卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.232:5140
湖北卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.239:5140
湖南卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.228:5140
吉林卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.6:5140
吉林卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.248:5140
江西卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.122:5140
辽宁卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.123:5140
青海卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.37:5140
三沙卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.56:5140
山东卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.238:5140
山西卫视,http://cjdx.zyfqh.top:9988/udp/239.45.0.57:5140
山西卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.205:5140
深圳卫视,http://cjdx.zyfqh.top:9988/udp/239.45.3.231:5140
四川卫视,http://cjdx.zyfqh.top:9988/udp/239.45.1.23:5140
